iter	Passed	Remaining
559	1787	1404
560	1790	1401
561	1793	1397
562	1797	1395
563	1800	1392
564	1804	1389
565	1807	1386
566	1811	1383
567	1815	1380
568	1819	1377
569	1822	1375
570	1826	1372
571	1829	1368
572	1832	1365
573	1835	1362
574	1838	1358
575	1841	1355
576	1844	1352
577	1847	1349
578	1850	1345
579	1853	1342
580	1856	1338
581	1859	1335
582	1862	1332
583	1865	1328
584	1868	1325
585	1871	1322
586	1875	1319
587	1878	1316
588	1881	1312
589	1884	1309
590	1887	1305
591	1890	1302
592	1893	1299
593	1896	1296
594	1899	1292
595	1902	1289
596	1905	1286
597	1908	1283
598	1911	1279
599	1915	1276
600	1918	1273
601	1920	1270
602	1924	1267
603	1928	1264
604	1931	1260
605	1934	1257
606	1937	1254
607	1940	1251
608	1943	1247
609	1946	1244
610	1949	1241
611	1952	1237
612	1955	1234
613	1958	1231
614	1961	1228
615	1964	1224
616	1967	1221
617	1970	1217
618	1973	1214
619	1976	1211
620	1979	1208
621	1982	1204
622	1985	1201
623	1988	1198
624	1991	1195
625	1994	1191
626	1997	1188
627	2000	1184
628	2003	1181
629	2006	1178
630	2009	1175
631	2012	1171
632	2015	1168
633	2018	1165
634	2021	1162
635	2024	1158
636	2028	1155
637	2031	1152
638	2034	1149
639	2037	1145
640	2040	1142
641	2043	1139
642	2046	1136
643	2049	1132
644	2052	1129
645	2055	1126
646	2058	1123
647	2061	1119
648	2064	1116
649	2067	1113
650	2070	1110
651	2074	1107
652	2077	1103
653	2080	1100
654	2083	1097
655	2086	1094
656	2090	1091
657	2093	1087
658	2095	1084
659	2098	1081
660	2101	1077
661	2104	1074
662	2108	1071
663	2111	1068
664	2114	1065
665	2117	1061
666	2120	1058
667	2123	1055
668	2126	1052
669	2129	1048
670	2132	1045
671	2135	1042
672	2138	1039
673	2141	1035
674	2144	1032
675	2147	1029
676	2150	1025
677	2153	1022
678	2156	1019
679	2159	1016
680	2162	1012
681	2165	1009
682	2168	1006
683	2171	1003
684	2174	999
685	2177	996
686	2180	993
687	2183	990
688	2186	987
689	2190	983
690	2192	980
691	2195	977
692	2198	974
693	2201	970
694	2204	967
695	2208	964
696	2211	961
697	2214	957
698	2217	954
699	2220	951
700	2223	948
701	2226	945
702	2229	941
703	2232	938
704	2235	935
705	2238	932
706	2241	929
707	2244	925
708	2247	922
709	2250	919
710	2253	916
711	2256	912
712	2259	909
713	2262	906
714	2265	903
715	2268	899
716	2271	896
717	2274	893
718	2277	890
719	2280	886
720	2283	883
721	2286	880
722	2289	877
723	2292	874
724	2295	870
725	2298	867
726	2301	864
727	2305	861
728	2308	858
729	2311	855
730	2315	852
731	2319	849
732	2323	846
733	2326	843
734	2330	840
735	2333	837
736	2336	833
737	2340	830
738	2343	827
739	2346	824
740	2349	821
741	2351	817
742	2355	814
743	2357	811
744	2360	808
745	2363	804
746	2366	801
747	2369	798
748	2372	795
749	2375	791
750	2378	788
751	2381	785
752	2385	782
753	2388	779
754	2390	775
755	2393	772
756	2396	769
757	2400	766
758	2403	763
759	2406	759
760	2409	756
761	2412	753
762	2415	750
763	2419	747
764	2422	744
765	2425	740
766	2428	737
767	2431	734
768	2435	731
769	2438	728
770	2441	725
771	2443	721
772	2447	718
773	2449	715
774	2452	712
775	2455	708
776	2458	705
777	2461	702
778	2464	699
779	2467	695
780	2470	692
781	2473	689
782	2476	686
783	2480	683
784	2483	680
785	2486	676
786	2489	673
787	2492	670
788	2495	667
789	2498	664
790	2501	660
791	2504	657
792	2507	654
793	2510	651
794	2514	648
795	2517	645
796	2520	641
797	2523	638
798	2526	635
799	2529	632
800	2532	629
801	2535	625
802	2539	622
803	2542	619
804	2545	616
805	2549	613
806	2552	610
807	2555	607
808	2559	604
809	2563	601
810	2566	598
811	2569	594
812	2573	591
813	2576	588
814	2580	585
815	2583	582
816	2586	579
817	2590	576
818	2593	573
819	2596	570
820	2600	566
821	2603	563
822	2605	560
823	2609	557
824	2612	554
825	2615	550
826	2618	547
827	2621	544
828	2624	541
829	2627	538
830	2631	535
831	2633	531
832	2636	528
833	2639	525
834	2642	522
835	2645	518
836	2648	515
837	2651	512
838	2654	509
839	2657	506
840	2660	503
841	2664	499
842	2667	496
843	2670	493
844	2673	490
845	2676	487
846	2679	483
847	2682	480
848	2685	477
849	2688	474
850	2691	471
851	2694	468
852	2697	464
853	2700	461
854	2703	458
855	2706	455
856	2709	452
857	2712	448
858	2715	445
859	2718	442
860	2721	439
861	2724	436
862	2727	432
863	2730	429
864	2732	426
865	2735	423
866	2738	420
867	2741	416
868	2744	413
869	2748	410
870	2751	407
871	2753	404
872	2756	401
873	2759	397
874	2763	394
875	2766	391
876	2769	388
877	2772	385
878	2776	382
879	2779	378
880	2782	375
881	2785	372
882	2787	369
883	2790	366
884	2794	363
885	2797	359
886	2800	356
887	2803	353
888	2805	350
889	2809	347
890	2812	344
891	2815	340
892	2818	337
893	2821	334
894	2824	331
895	2827	328
896	2830	325
897	2833	321
898	2836	318
899	2841	315
900	2844	312
901	2847	309
902	2850	306
903	2853	302
904	2856	299
905	2859	296
906	2862	293
907	2865	290
908	2868	287
909	2871	284
910	2874	280
911	2878	277
912	2881	274
913	2883	271
914	2886	268
915	2889	265
916	2893	261
917	2896	258
918	2898	255
919	2901	252
920	2904	249
921	2908	246
922	2911	242
923	2914	239
924	2917	236
925	2920	233
926	2925	230
927	2928	227
928	2931	224
929	2934	220
930	2937	217
931	2941	214
932	2944	211
933	2947	208
934	2950	205
935	2953	201
936	2956	198
937	2960	195
938	2963	192
939	2966	189
940	2969	186
941	2972	183
942	2975	179
943	2978	176
944	2981	173
945	2984	170
946	2987	167
947	2990	164
948	2993	160
949	2996	157
950	2999	154
951	3002	151
952	3005	148
953	3008	145
954	3011	141
955	3014	138
956	3017	135
957	3020	132
958	3024	129
959	3027	126
960	3029	122
961	3032	119
962	3035	116
963	3038	113
964	3042	110
965	3045	107
966	3048	104
967	3051	100
968	3055	97
969	3058	94
970	3061	91
971	3064	88
972	3067	85
973	3070	81
974	3073	78
975	3076	75
976	3079	72
977	3082	69
978	3085	66
979	3089	63
980	3092	59
981	3095	56
982	3098	53
983	3102	50
984	3106	47
985	3109	44
986	3111	40
987	3114	37
988	3118	34
989	3121	31
990	3124	28
991	3127	25
992	3130	22
993	3133	18
994	3136	15
995	3139	12
996	3142	9
997	3145	6
998	3148	3
999	3151	0
